Brand,SUB CATEGORY,Units,Avg Unit Price,Any Promo Units,Number of Stores Selling
Brand L,REMAINING FLAVOR,1,$5.79 ,0,1
Brand A,REMAINING FLAVOR,"3,929",$3.97 ,"3,706",466
Brand C,CHERRY,752,$7.49 ,752,121
Brand C,CHERRY,205,$9.76 ,0,77
Brand A,TOMATO JUICE,5,$3.49 ,0,1
Brand A,POMEGRANATE,37,$9.99 ,0,26
Brand C,CRANBERRY BLEND,"1,630",$6.78 ,"1,630",772
Brand A,REMAINING FLAVOR,14,$3.49 ,0,2
Brand C,ORANGE,760,$5.97 ,35,444
Brand A,GRAPEFRUIT,"4,883",$6.75 ,"1,608","2,427"
Brand F,PRUNE,156,$5.15 ,22,132
Brand F,CRANBERRY,"7,057",$5.45 ,"1,288","1,828"
Brand I,REMAINING FLAVOR,"1,170",$7.74 ,8,675
Brand C,GRAPEFRUIT,50,$7.64 ,43,22
Brand C,CHERRY,218,$4.97 ,7,99
Brand J,CRANBERRY,"1,577",$5.44 ,0,352
Brand C,ORANGE,0,,0,
Brand A,CRANBERRY,"2,208",$10.12 ,414,"1,189"
Brand K,REMAINING FLAVOR,12,$7.99 ,0,11
Brand A,PRUNE,15,$8.83 ,0,3
Brand A,ORANGE BLEND,79,$6.69 ,75,47
Brand A,CRANBERRY BLEND,"1,329",$5.94 ,0,380
Brand A,BLUEBERRY,131,$4.50 ,22,75
Brand D,CHERRY,18,$3.99 ,0,10
Brand C,REMAINING FLAVOR,276,$6.96 ,217,86
Brand A,REMAINING FLAVOR,726,$4.24 ,0,445
Brand A,PRUNE,810,$8.15 ,414,313
Brand L,REMAINING FLAVOR,"1,747",$5.39 ,0,755
Brand A,CHERRY,569,$8.78 ,0,152
Brand L,REMAINING FLAVOR,11,$5.19 ,0,4
Brand A,REMAINING FLAVOR,120,$5.98 ,0,65
Brand A,REMAINING FLAVOR,471,$4.30 ,141,200
Brand I,CHERRY,547,$6.67 ,0,128
Brand K,REMAINING FLAVOR,53,$7.99 ,0,43
Brand C,REMAINING FLAVOR,571,$8.97 ,0,195
Brand F,REMAINING FLAVOR,"3,571",$5.45 ,433,"1,232"
Brand H,GRAPE,349,$4.48 ,39,91
Brand L,MANGO,2,$5.19 ,0,2
Brand C,ORANGE,598,$5.96 ,0,385
Brand E,CRANBERRY,202,$3.72 ,29,128
Brand B,BLUEBERRY,80,$4.79 ,20,37
Brand A,REMAINING FLAVOR,4,$5.19 ,0,3
Brand A,TOMATO JUICE,127,$4.95 ,0,71
Brand C,POMEGRANATE,"1,770",$13.38 ,218,459.0
Brand L,REMAINING FLAVOR,2,$4.74 ,0,2
Brand J,CRANBERRY,462,$4.36 ,161,142
Brand C,ORANGE,804,$7.96 ,315,517
Brand A,REMAINING FLAVOR,336,$8.68 ,14,200
Brand A,CRANBERRY,6,$13.99 ,0,3
Brand A,CRANBERRY,556,$8.89 ,8,210
Brand C,ORANGE BLEND,77,$7.98 ,17,38
Brand C,CHERRY,5,$5.89 ,5,2
Brand C,ORANGE,3,$3.99 ,0,1
Brand I,REMAINING FLAVOR,139,$9.05 ,0,67
Brand L,REMAINING FLAVOR,28,$4.53 ,0,14
Brand C,CRANBERRY,"1,169",$9.60 ,0,668
Brand A,FRUIT PUNCH,"1,088",$1.64 ,735,268
Brand C,REMAINING FLAVOR,11,$5.32 ,0,9
Brand A,REMAINING FLAVOR,7,$5.25 ,0,7
Brand C,GRAPEFRUIT,83,$7.41 ,0,50
Brand C,REMAINING FLAVOR,605,$8.95 ,0,201
Brand E,CHERRY,24,$6.99 ,0,16
Brand C,REMAINING FLAVOR,476,$7.85 ,13,185
Brand F,PRUNE,"5,288",$5.98 ,114,"1,736"
Brand J,CHERRY,"6,737",$5.47 ,200,"2,567"
Brand C,CHERRY,307,$7.70 ,0,134
Brand L,PEACH,1,$4.99 ,0,1
Brand H,GRAPEFRUIT,5,$2.91 ,0,3
Brand C,MANGO,95,$6.81 ,48,56
Brand L,REMAINING FLAVOR,1,$5.79 ,0,1
Brand A,REMAINING FLAVOR,382,$4.51 ,365,147.0
Brand C,POMEGRANATE,1,$10.69 ,0,1
Brand C,POMEGRANATE,2,$11.39 ,0,2
Brand A,BLUEBERRY,148,$8.49 ,0,93.0
Brand A,REMAINING FLAVOR,2,$4.89 ,0,2
Brand A,REMAINING FLAVOR,"2,605",$5.21 ,0,"1,021"
Brand C,ORANGE,0,,0,
Brand C,REMAINING FLAVOR,380,$7.76 ,0,128
Brand H,REMAINING FLAVOR,3,$8.26 ,0,3
Brand C,PRUNE,11,$8.99 ,0,10
Brand A,POMEGRANATE,0,,0,
Brand A,CHERRY,12,$7.55 ,0,6
Brand A,CHERRY,"1,736",$6.39 ,747,922
Brand C,CHERRY,249,$6.99 ,0,56
Brand C,CHERRY,347,$8.03 ,0,140
Brand J,GRAPEFRUIT,766,$5.43 ,0,271
Brand A,GRAPE,0,,0,
Brand A,CRANBERRY,"2,092",$7.93 ,"1,280","1,005"
Brand A,GRAPEFRUIT,713,$6.12 ,272,477
Brand A,MANGO,333,$9.98 ,22,228.0
Brand A,CRANBERRY,8,$2.29 ,0,1
Brand A,TROPICAL,260,$4.62 ,7,197
Brand I,POMEGRANATE,529,$7.88 ,7,381
Brand C,REMAINING FLAVOR,241,$7.77 ,0,84.0
Brand C,REMAINING FLAVOR,"2,425",$8.03 ,"1,162",895
Brand F,CRANBERRY,"2,492",$6.97 ,58,636
Brand C,CRANBERRY,239,$10.01 ,0,114
Brand C,REMAINING FLAVOR,256,$7.74 ,6,87.0
Brand A,CRANBERRY,220,$8.13 ,0,109
Brand C,POMEGRANATE,0,,0,
Brand F,ORANGE BLEND,"3,169",$3.14 ,259,860
Brand F,CHERRY,"2,800",$5.38 ,563,"1,259"
Brand C,CHERRY,6,$4.82 ,0,2
Brand D,CHERRY,497,$6.42 ,30,328
Brand C,CRANBERRY,"4,925",$12.40 ,"1,782",505.0
Brand M,REMAINING FLAVOR,363,$5.44 ,0,98
Brand G,CHERRY,623,$7.54 ,44,366
Brand C,REMAINING FLAVOR,398,$7.09 ,7,195
Brand A,ORANGE BLEND,59,$7.97 ,0,32
Brand A,REMAINING FLAVOR,50,$7.95 ,35,45
Brand C,REMAINING FLAVOR,153,$10.01 ,91,95
Brand C,ORANGE BLEND,198,$8.27 ,37,135
Brand C,CARROT,115,$7.66 ,0,53
Brand A,GRAPE,451,$6.64 ,251,210.0
Brand L,REMAINING FLAVOR,521,$5.29 ,0,145
Brand C,ORANGE BLEND,35,$7.92 ,0,22
Brand I,REMAINING FLAVOR,0,,0,
Brand B,CHERRY,816,$6.16 ,721,335
Brand A,CARROT,1,$5.99 ,0,1
Brand H,GRAPE,32,$5.20 ,0,9
Brand F,REMAINING FLAVOR,23,$0.01 ,0,6
Brand A,CRANBERRY,370,$7.56 ,0,99
Brand A,TOMATO JUICE,203,$3.31 ,185,102
Brand F,CHERRY,251,$4.15 ,9,114
Brand J,CRANBERRY,"44,753",$5.45 ,"4,744","12,941"
Brand C,POMEGRANATE,"3,629",$10.34 ,"3,629",497.0
Brand E,CRANBERRY,"6,035",$6.29 ,"1,723","2,304"
Brand F,CHERRY,"3,077",$5.38 ,541,"1,290"
Brand A,BERRY POMEGRANATE,21,$6.46 ,0,9
Brand M,MANGO,0,,0,
Brand C,MANGO,555,$8.79 ,0,258
Brand A,BLUEBERRY,"1,240",$9.47 ,754,719
Brand C,CRANBERRY,"1,794",$11.52 ,84,472.0
Brand C,CHERRY,430,$5.67 ,23,297
Brand A,CRANBERRY BLEND,419,$5.63 ,10,147
Brand C,CHERRY,885,$6.97 ,885,219
Brand C,POMEGRANATE,398,$8.58 ,378,163
Brand I,CHERRY,"2,251",$8.15 ,38,780
